longitude,latitude,date_death,days
5.506345,49.777269,07/02/2019,184
5.44007,49.63233,07/02/2019,184
5.44144,49.63251,07/02/2019,184
5.64373,49.67009,01/01/2019,147
5.43217,49.6342,08/02/2019,185
5.44624,49.59237,10/02/2019,187
5.607139,49.552972,07/02/2019,184
5.607833,49.557639,11/02/2019,188
5.611611,49.560111,07/02/2019,184
5.47152,49.65304,01/02/2019,178
5.46146,49.64458,05/02/2019,182
5.68315,49.64004,24/01/2019,170
5.592724,49.635632,04/01/2019,150
5.49866,49.620215,26/01/2019,172
5.72673,49.64269,02/02/2019,179
5.49866,49.629418,04/02/2019,181
5.49786,49.628956,01/02/2019,178
5.492826,49.624402,08/02/2019,185
5.493041,49.62441,08/02/2019,185
5.492815,49.62491,08/02/2019,185
5.493022,49.624504,01/02/2019,178
5.493416,49.624925,12/02/2019,189
5.493216,49.624812,05/02/2019,182
5.51796,49.59178,26/01/2019,172
5.51799,49.59158,26/01/2019,172
5.606583,49.557917,11/02/2019,188
5.43776,49.63769,13/02/2019,190
5.47325,49.68324,14/02/2019,191
5.4376,49.63729,13/02/2019,190
5.42809,49.633368,26/01/2019,172
5.426533,49.638268,14/02/2019,191
5.427972,49.638354,14/02/2019,191
5.427082,49.638309,14/02/2019,191
5.52929,49.60654,14/02/2019,191
5.52649,49.60561,27/01/2019,173
5.48064,49.70721,07/01/2019,153
5.47748,49.70699,08/01/2019,154
5.455774,49.63555,07/02/2019,184
5.455624,49.635419,14/02/2019,191
5.45546,49.63546,14/02/2019,191
5.455472,49.635623,14/02/2019,191
5.45469,49.63777,14/02/2019,191
5.455247,49.635477,07/02/2019,184
5.46599,49.63906,07/02/2019,184
5.462988,49.640544,14/02/2019,191
5.46216,49.64051,14/02/2019,191
5.45747,49.62183,08/02/2019,185
5.44351,49.63446,13/02/2019,190
5.44797,49.63702,06/02/2019,183
5.45747,49.62221,08/02/2019,185
5.44485,49.63777,13/02/2019,190
5.443848,49.634602,13/02/2019,190
5.719554,49.603079,16/02/2019,193
5.570497,49.633458,06/01/2019,152
5.566314,49.632019,06/01/2019,152
5.556329,49.644867,08/01/2019,154
5.53545,49.64785,26/01/2019,172
5.53543,49.64784,26/01/2019,172
5.53779,49.64129,06/01/2019,152
5.44665,49.63986,13/02/2019,190
5.44975,49.63872,13/02/2019,190
5.42601,49.63085,13/02/2019,190
5.43908,49.6325,06/02/2019,183
5.45589,49.65433,13/02/2019,190
5.42816,49.65773,11/02/2019,188
5.44024,49.65884,04/02/2019,181
5.47775,49.68531,15/02/2019,192
5.658,49.586,19/02/2019,196
5.547726,49.59071,18/02/2019,195
5.608611,49.629722,31/01/2019,177
5.51309,49.74518,19/02/2019,196
5.51322,49.74498,19/02/2019,196
5.512203,49.747158,20/02/2019,197
5.598616,49.552235,19/02/2019,196
5.48855,49.64576,18/02/2019,195
5.48188,49.64564,18/02/2019,195
5.47379,49.64815,12/02/2019,189
5.50365,49.60853,12/02/2019,189
5.50385,49.60858,12/02/2019,189
5.477669,49.647076,19/02/2019,196
5.473955,49.648125,12/02/2019,189
5.5035,49.608499,12/02/2019,189
5.5059,49.6123,19/02/2019,196
5.50364,49.60853,19/02/2019,196
5.50375,49.60854,12/02/2019,189
5.50368,49.6085,12/02/2019,189
5.50372,49.60851,19/02/2019,196
5.5034,49.60871,12/02/2019,189
5.49525,49.60841,19/02/2019,196
5.49738,49.60649,19/02/2019,196
5.50135,49.73882,20/02/2019,197
5.51575,49.59086,18/02/2019,195
5.51243,49.59299,11/02/2019,188
5.50521,49.61077,19/02/2019,196
5.52121,49.5942,11/01/2019,157
5.5208,49.5938,18/02/2019,195
5.5209,49.594,11/02/2019,188
5.65147,49.61753,23/02/2019,200
5.60453,49.59901,18/02/2019,195
5.48176,49.65047,22/02/2019,199
5.479175,49.652598,21/02/2019,198
5.47901,49.65278,21/02/2019,198
5.47361,49.6533,21/02/2019,198
5.47407,49.65286,14/02/2019,191
5.54789,49.66492,15/01/2019,161
5.64401,49.59797,25/02/2019,202
5.50728,49.67611,19/01/2019,165
5.498678,49.736983,04/02/2019,181
5.498105,49.736425,22/02/2019,199
5.612778,49.554167,22/02/2019,199
5.611944,49.553889,22/02/2019,199
5.611944,49.553333,22/02/2019,199
5.602778,49.560278,19/02/2019,196
5.606667,49.553333,22/02/2019,199
5.54768,49.67925,26/02/2019,203
5.74391,49.64882,08/02/2019,185
5.73973,49.64566,19/02/2019,196
5.51702,49.60258,10/02/2019,187
5.74515,49.68501,27/02/2019,204
5.793393,49.593798,27/02/2019,204
5.788434,49.589748,27/02/2019,204
5.473095,49.769215,01/03/2019,206
5.49344,49.63227,22/02/2019,199
5.42927,49.65514,28/02/2019,205
5.44987,49.67205,28/02/2019,205
5.42932,49.65516,28/02/2019,205
5.42744,49.65455,21/02/2019,198
